ó^Ç¶ÇΩèdóvìx,0.230000,0.370000,0.200000,0.300000,0.170000,0.230000,0.100000,0.200000,0.030000,0.170000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],ãÊä‘ïùÇÃëçòa
133,0.240793, 0.288790,0.288790, 0.317957,0.158978, 0.240793,0.120397, 0.172966,0.043242, 0.127293,0.295600
134,0.293671, 0.341819,0.257308, 0.294681,0.168371, 0.257308,0.053631, 0.184696,0.035099, 0.113416,0.383840
135,0.169044, 0.300161,0.300161, 0.338088,0.169044, 0.210070,0.169044, 0.204209,0.034035, 0.106144,0.317344
136,0.291883, 0.326366,0.163183, 0.220801,0.190498, 0.291883,0.073600, 0.193946,0.096764, 0.151076,0.368144
137,0.283643, 0.321143,0.160571, 0.210571,0.160571, 0.210571,0.160571, 0.283643,0.040143, 0.168571,0.389000
138,0.260345, 0.294109,0.260345, 0.302011,0.147055, 0.260345,0.130172, 0.173922,0.034626, 0.137069,0.334914
139,0.355251, 0.379624,0.189812, 0.220721,0.189812, 0.220721,0.063502, 0.177626,0.075925, 0.127005,0.251394
140,0.265649, 0.293426,0.265649, 0.296899,0.242660, 0.277553,0.060665, 0.139491,0.036678, 0.121330,0.257399
141,0.260730, 0.296528,0.242842, 0.275466,0.137733, 0.263003,0.148264, 0.245115,0.034433, 0.095886,0.351995
142,0.237460, 0.267513,0.210794, 0.240127,0.237460, 0.273016,0.133757, 0.237460,0.047492, 0.114921,0.266074
143,0.255776, 0.299233,0.225007, 0.280391,0.149616, 0.248340,0.080130, 0.262732,0.045001, 0.153773,0.488939
144,0.356384, 0.405710,0.202855, 0.238989,0.119074, 0.191710,0.095855, 0.220597,0.031514, 0.137313,0.388636
145,0.229333, 0.244148,0.208000, 0.229333,0.229333, 0.244148,0.229333, 0.244148,0.038222, 0.104000,0.131556
146,0.268425, 0.304155,0.236425, 0.287092,0.152078, 0.243833,0.113085, 0.268425,0.028047, 0.098434,0.403879
147,0.262534, 0.329201,0.173225, 0.279712,0.131856, 0.281201,0.095011, 0.205917,0.038025, 0.203317,0.598697
148,0.256190, 0.290476,0.250476, 0.286190,0.145238, 0.250476,0.125238, 0.165595,0.071548, 0.158571,0.302619
149,0.266006, 0.326324,0.204468, 0.273332,0.136666, 0.276995,0.133003, 0.223218,0.027451, 0.132537,0.464812
150,0.250313, 0.295816,0.238819, 0.274451,0.213667, 0.251503,0.091484, 0.213667,0.035929, 0.134352,0.339577
151,0.279998, 0.311998,0.207086, 0.279998,0.155999, 0.223753,0.103999, 0.207086,0.069029, 0.161052,0.367776
152,0.254348, 0.271014,0.254348, 0.264348,0.254348, 0.271014,0.088116, 0.127174,0.088116, 0.127174,0.121449
153,0.233385, 0.272779,0.251567, 0.280142,0.140071, 0.233385,0.200565, 0.251567,0.030853, 0.105688,0.287120
154,0.253304, 0.287828,0.253304, 0.283780,0.197626, 0.253304,0.126652, 0.197626,0.040540, 0.106036,0.257148
155,0.246409, 0.312416,0.156208, 0.289113,0.140853, 0.246409,0.144557, 0.253551,0.044631, 0.165853,0.534685
156,0.222222, 0.266667,0.222222, 0.251852,0.222222, 0.251852,0.088889, 0.222222,0.111111, 0.140741,0.266667
157,0.214271, 0.279582,0.279582, 0.315402,0.157701, 0.218619,0.107135, 0.218619,0.069895, 0.139195,0.342831
158,0.294709, 0.328454,0.225624, 0.294709,0.164227, 0.227367,0.112812, 0.227367,0.034392, 0.090339,0.336472
159,0.253993, 0.286222,0.286222, 0.317621,0.158810, 0.253993,0.137555, 0.185971,0.030836, 0.088778,0.265168
160,0.225561, 0.277942,0.254133, 0.293639,0.117975, 0.254133,0.146819, 0.239847,0.039975, 0.149975,0.431073
161,0.260308, 0.307183,0.206616, 0.282780,0.141390, 0.271737,0.102394, 0.213211,0.067934, 0.146445,0.442714
162,0.368532, 0.422606,0.210933, 0.248205,0.123648, 0.209822,0.055849, 0.216781,0.027578, 0.116046,0.426919
163,0.229259, 0.282422,0.282422, 0.316905,0.158453, 0.229259,0.141211, 0.196548,0.041994, 0.121526,0.293321
164,0.334545, 0.378845,0.174319, 0.213207,0.174319, 0.214596,0.126282, 0.193436,0.023179, 0.167272,0.334715
165,0.301064, 0.337427,0.168714, 0.266604,0.133302, 0.301064,0.131261, 0.184818,0.054585, 0.121161,0.422148
166,0.292402, 0.336847,0.256369, 0.292402,0.168423, 0.256369,0.053544, 0.182180,0.046534, 0.114931,0.365456
167,0.345455, 0.378788,0.168561, 0.193561,0.181061, 0.214394,0.090530, 0.172727,0.086364, 0.168561,0.256061
168,0.289892, 0.315979,0.257892, 0.289892,0.153642, 0.257892,0.144946, 0.183187,0.038410, 0.068269,0.230437
169,0.236428, 0.293070,0.230178, 0.285635,0.213512, 0.266786,0.067018, 0.135327,0.041867, 0.230178,0.421993
170,0.281993, 0.317599,0.183800, 0.281993,0.158800, 0.196300,0.142133, 0.200466,0.079400, 0.157517,0.307751
171,0.295429, 0.326381,0.286540, 0.318643,0.147714, 0.172476,0.106214, 0.160214,0.043119, 0.143270,0.241968
172,0.238102, 0.292387,0.213102, 0.256852,0.191080, 0.238102,0.119051, 0.229768,0.030477, 0.191080,0.416378
173,0.375584, 0.408918,0.204459, 0.234762,0.117381, 0.195792,0.093896, 0.197792,0.048948, 0.122468,0.319463
174,0.257426, 0.286694,0.286694, 0.319116,0.159558, 0.257426,0.111066, 0.158473,0.044636, 0.118909,0.281239
175,0.275681, 0.318538,0.244327, 0.275681,0.137841, 0.244327,0.137841, 0.180698,0.039383, 0.145684,0.329856
176,0.253202, 0.296059,0.267488, 0.301252,0.150626, 0.253202,0.126601, 0.175411,0.035519, 0.140640,0.333128
177,0.278730, 0.329347,0.213254, 0.287063,0.161587, 0.245198,0.069683, 0.220661,0.031896, 0.162579,0.489700
178,0.260345, 0.294109,0.260345, 0.299234,0.147055, 0.260345,0.130172, 0.173922,0.037404, 0.137069,0.329358
179,0.284537, 0.321746,0.160873, 0.245500,0.193562, 0.284537,0.121468, 0.208562,0.049100, 0.130115,0.380920
180,0.345153, 0.382486,0.191243, 0.230132,0.163980, 0.191243,0.095621, 0.178637,0.057525, 0.163980,0.292955
181,0.198555, 0.288345,0.288345, 0.325889,0.162945, 0.229032,0.108630, 0.202903,0.057258, 0.138099,0.368535
182,0.230621, 0.299654,0.299654, 0.337335,0.168668, 0.230621,0.099885, 0.194593,0.037482, 0.101489,0.327383
183,0.302491, 0.339634,0.280269, 0.312491,0.151245, 0.189896,0.085385, 0.149365,0.037979, 0.151245,0.285262
184,0.226020, 0.259354,0.226020, 0.264116,0.226020, 0.264251,0.132126, 0.226020,0.037051, 0.139022,0.305526
185,0.303168, 0.337651,0.182123, 0.303168,0.168825, 0.220218,0.091061, 0.204345,0.056275, 0.133167,0.397096
186,0.242922, 0.278478,0.215529, 0.242922,0.242922, 0.282428,0.121461, 0.215529,0.030942, 0.126866,0.292447
187,0.276391, 0.349587,0.174793, 0.270711,0.135355, 0.276391,0.110973, 0.163147,0.072878, 0.169774,0.459219
188,0.331048, 0.373408,0.186704, 0.230038,0.186704, 0.225593,0.082762, 0.176433,0.041785, 0.165524,0.341992
189,0.302982, 0.319649,0.319649, 0.339649,0.148713, 0.159825,0.106550, 0.148713,0.053275, 0.100994,0.137661
190,0.227060, 0.254219,0.245885, 0.270885,0.254219, 0.279615,0.127109, 0.227060,0.042370, 0.071577,0.206713
191,0.203497, 0.286690,0.286690, 0.324517,0.162259, 0.231780,0.108172, 0.210454,0.046356, 0.139584,0.386051
192,0.291597, 0.345764,0.237827, 0.291597,0.136708, 0.186708,0.072899, 0.237827,0.039638, 0.159435,0.442662
193,0.249996, 0.275879,0.249996, 0.277447,0.124998, 0.222976,0.222976, 0.249996,0.043235, 0.082499,0.217596
194,0.395829, 0.422550,0.211275, 0.254015,0.127008, 0.197915,0.083238, 0.145323,0.049479, 0.113369,0.266343
195,0.301395, 0.347321,0.173660, 0.285188,0.136440, 0.301395,0.095063, 0.197636,0.035649, 0.126252,0.515586
196,0.285067, 0.315836,0.234707, 0.285067,0.157918, 0.234707,0.099741, 0.153371,0.063167, 0.170418,0.318799
197,0.246032, 0.275661,0.137831, 0.246032,0.217460, 0.246032,0.123016, 0.217460,0.123016, 0.167460,0.305291
198,0.287898, 0.328593,0.222594, 0.287898,0.164297, 0.238890,0.093814, 0.222594,0.031989, 0.121434,0.398818
199,0.307119, 0.350129,0.209634, 0.307119,0.175065, 0.234078,0.041926, 0.209634,0.055129, 0.110168,0.422256
200,0.312270, 0.353295,0.203502, 0.312270,0.156135, 0.210836,0.088324, 0.203502,0.038115, 0.121751,0.403308
201,0.214244, 0.288054,0.205811, 0.257618,0.128809, 0.273915,0.136958, 0.253751,0.029625, 0.211216,0.569107
202,0.278895, 0.323339,0.161670, 0.243601,0.243601, 0.282816,0.081200, 0.162465,0.042561, 0.179851,0.384147
203,0.306450, 0.344748,0.152766, 0.210675,0.172374, 0.237058,0.118529, 0.306450,0.035858, 0.115093,0.428046
204,0.407657, 0.452300,0.184679, 0.213757,0.106879, 0.211710,0.101914, 0.192561,0.029118, 0.099424,0.339505
205,0.248259, 0.287148,0.270245, 0.307125,0.153562, 0.248259,0.102375, 0.188345,0.041377, 0.153304,0.368363
206,0.298416, 0.329434,0.248950, 0.298416,0.164717, 0.248950,0.107888, 0.151852,0.035690, 0.115688,0.288679
207,0.322982, 0.347982,0.238067, 0.322982,0.173991, 0.238067,0.086995, 0.133526,0.041610, 0.093798,0.272709
208,0.228571, 0.264127,0.228571, 0.261905,0.228571, 0.258624,0.129312, 0.228571,0.047937, 0.123810,0.274074
209,0.199318, 0.270359,0.267282, 0.301017,0.133641, 0.270359,0.150509, 0.214318,0.060203, 0.132992,0.378093
210,0.259091, 0.292929,0.146465, 0.259091,0.259091, 0.300758,0.129545, 0.171212,0.043182, 0.138636,0.325253
211,0.270345, 0.291862,0.270345, 0.288123,0.270345, 0.290345,0.072966, 0.135172,0.036015, 0.074483,0.159969
212,0.290269, 0.327069,0.245903, 0.290269,0.145135, 0.187998,0.109023, 0.245903,0.037600, 0.120830,0.344141
213,0.227451, 0.260784,0.227451, 0.257516,0.227451, 0.260784,0.128758, 0.227451,0.056863, 0.125490,0.264052
214,0.251857, 0.290746,0.213929, 0.251857,0.251857, 0.292883,0.091360, 0.213929,0.028601, 0.112981,0.324792
215,0.364694, 0.400222,0.200111, 0.224486,0.200111, 0.227194,0.100056, 0.136618,0.024943, 0.121565,0.220171
216,0.248813, 0.281591,0.281591, 0.319091,0.159545, 0.248813,0.093864, 0.180000,0.060000, 0.126692,0.312374
217,0.349874, 0.396170,0.197159, 0.237900,0.164523, 0.206088,0.071275, 0.182750,0.029738, 0.164523,0.374862
218,0.286647, 0.329505,0.253562, 0.286647,0.151657, 0.253562,0.095549, 0.180228,0.040950, 0.121693,0.343270
