ó^Ç¶ÇΩèdóvìx,0.250000,0.350000,0.200000,0.300000,0.150000,0.250000,0.100000,0.200000,0.050000,0.150000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],ãÊä‘ïùÇÃëçòa
102,0.360012, 0.417965,0.165518, 0.194494,0.165518, 0.194494,0.111735, 0.181282,0.081482, 0.127500,0.231472
103,0.272059, 0.450833,0.179436, 0.293456,0.162279, 0.272059,0.111567, 0.160492,0.043615, 0.054204,0.462090
104,0.156016, 0.331259,0.234158, 0.390030,0.156078, 0.233952,0.108564, 0.233952,0.048801, 0.107191,0.592767
105,0.246893, 0.459338,0.176558, 0.305594,0.083495, 0.278757,0.100994, 0.188106,0.000001, 0.160264,0.784120
106,0.223305, 0.286082,0.207473, 0.364691,0.191917, 0.254694,0.099662, 0.223305,0.063972, 0.084898,0.427341
107,0.129438, 0.406323,0.202981, 0.355570,0.126687, 0.279276,0.079976, 0.264556,0.021252, 0.133940,0.879330
108,0.245937, 0.517044,0.112474, 0.248460,0.135539, 0.270160,0.061253, 0.178641,0.051598, 0.178894,0.786396
109,0.247307, 0.393303,0.193843, 0.405980,0.097416, 0.255822,0.068859, 0.206370,0.000001, 0.131100,0.785149
110,0.197102, 0.371318,0.134235, 0.362270,0.060040, 0.302230,0.126096, 0.245222,0.060378, 0.141109,0.844297
111,0.273267, 0.466818,0.181634, 0.292307,0.106342, 0.166925,0.059241, 0.161159,0.071908, 0.220400,0.615215
112,0.194536, 0.461984,0.053416, 0.389072,0.110622, 0.278450,0.114942, 0.259225,0.049231, 0.088522,0.954507
113,0.276935, 0.359320,0.179660, 0.363248,0.085222, 0.274896,0.083435, 0.215592,0.049304, 0.112390,0.650891
114,0.224993, 0.328973,0.117689, 0.325245,0.181050, 0.268935,0.118875, 0.237414,0.000001, 0.196826,0.714785
115,0.264157, 0.336378,0.215238, 0.388781,0.116916, 0.271864,0.078248, 0.172415,0.055475, 0.100528,0.539933
116,0.134882, 0.424183,0.153482, 0.337217,0.139766, 0.356131,0.061615, 0.245350,0.007608, 0.139766,1.005293
117,0.177473, 0.342572,0.196949, 0.289194,0.219639, 0.243071,0.138486, 0.273206,0.021013, 0.098398,0.492881
118,0.212367, 0.325000,0.142414, 0.364202,0.135465, 0.353912,0.045940, 0.235686,0.050672, 0.134342,0.826283
119,0.278936, 0.396513,0.206974, 0.307116,0.189832, 0.218304,0.098595, 0.099661,0.094916, 0.109152,0.261494
120,0.208825, 0.436042,0.177720, 0.239931,0.177720, 0.239931,0.086330, 0.269111,0.000001, 0.164389,0.698806
121,0.216988, 0.363416,0.269259, 0.291953,0.153090, 0.304866,0.131135, 0.149471,0.000001, 0.119822,0.459054
122,0.264932, 0.429564,0.101752, 0.410725,0.062756, 0.251112,0.078467, 0.235423,0.008333, 0.156934,0.967518
123,0.184149, 0.237987,0.155252, 0.415944,0.119833, 0.258030,0.050941, 0.343523,0.067546, 0.166795,0.844559
124,0.212083, 0.489388,0.175368, 0.424867,0.077742, 0.217405,0.039520, 0.155289,0.029588, 0.178750,0.931400
125,0.211151, 0.385962,0.163790, 0.258511,0.163790, 0.295756,0.097808, 0.229773,0.029667, 0.163790,0.667588
126,0.291987, 0.347634,0.159905, 0.373350,0.075697, 0.240712,0.097514, 0.223430,0.025886, 0.163886,0.698022
127,0.212207, 0.391925,0.208978, 0.474419,0.093264, 0.212207,0.062007, 0.150200,0.060170, 0.134622,0.726747
128,0.248427, 0.339035,0.248427, 0.339035,0.146865, 0.245593,0.085464, 0.148627,0.051661, 0.146865,0.438310
129,0.231256, 0.482948,0.115988, 0.304605,0.147234, 0.234153,0.081981, 0.245734,0.000001, 0.156101,0.847079
130,0.176462, 0.383948,0.208280, 0.450933,0.092157, 0.260767,0.074480, 0.193670,0.029954, 0.129348,0.837333
131,0.308186, 0.418893,0.181770, 0.237123,0.154093, 0.209446,0.099273, 0.181770,0.090885, 0.118562,0.331588
132,0.254531, 0.497312,0.132507, 0.322793,0.096257, 0.226537,0.115149, 0.227650,0.033285, 0.093980,0.736545
133,0.166128, 0.312533,0.198260, 0.400358,0.149655, 0.303203,0.054544, 0.249192,0.050928, 0.115200,0.760972
134,0.223703, 0.486457,0.175680, 0.355442,0.104302, 0.247058,0.057719, 0.187456,0.039596, 0.122588,0.798001
135,0.175541, 0.247854,0.211698, 0.399914,0.130819, 0.232939,0.114623, 0.315781,0.057612, 0.113220,0.619416
136,0.197458, 0.415905,0.141708, 0.330256,0.145338, 0.283107,0.057783, 0.208274,0.110085, 0.110085,0.695256
137,0.189287, 0.389241,0.153243, 0.256492,0.153243, 0.256492,0.108442, 0.272042,0.033877, 0.187641,0.723817
138,0.163995, 0.389547,0.231037, 0.332247,0.138385, 0.338025,0.090216, 0.140821,0.015782, 0.159945,0.721169
139,0.277944, 0.450261,0.137803, 0.274133,0.137803, 0.274133,0.073144, 0.168811,0.034819, 0.171149,0.676972
140,0.187855, 0.419044,0.183390, 0.327588,0.156494, 0.266932,0.085163, 0.133229,0.028590, 0.211713,0.717013
141,0.236670, 0.290664,0.183576, 0.380442,0.145227, 0.281665,0.095839, 0.263667,0.047334, 0.074916,0.582709
142,0.220502, 0.344038,0.156373, 0.267990,0.192545, 0.262591,0.150975, 0.248613,0.057976, 0.098398,0.443259
143,0.104688, 0.419283,0.107310, 0.424963,0.130993, 0.320494,0.067284, 0.261986,0.029933, 0.133068,1.119585
144,0.217140, 0.445154,0.072049, 0.373105,0.061268, 0.311837,0.064298, 0.303432,0.041334, 0.110382,1.087821
145,0.199579, 0.360979,0.147329, 0.272830,0.128311, 0.294658,0.186524, 0.262461,0.049496, 0.097833,0.577524
146,0.161697, 0.439066,0.192904, 0.353546,0.168708, 0.273225,0.024741, 0.255957,0.000001, 0.130156,0.903900
147,0.205325, 0.510918,0.107703, 0.322526,0.028298, 0.291367,0.080631, 0.216087,0.041590, 0.195555,1.072906
148,0.245069, 0.319902,0.176797, 0.365061,0.118187, 0.265067,0.103826, 0.141243,0.092264, 0.172584,0.527713
149,0.245588, 0.315937,0.118929, 0.367069,0.132403, 0.296720,0.122794, 0.247033,0.042929, 0.110597,0.674714
150,0.251383, 0.251383,0.151881, 0.377075,0.125849, 0.381786,0.059489, 0.239180,0.036282, 0.125692,0.750233
151,0.215291, 0.422224,0.184315, 0.246267,0.122150, 0.246480,0.101500, 0.246480,0.092158, 0.123134,0.569171
152,0.208430, 0.273876,0.245125, 0.322104,0.226033, 0.297013,0.088612, 0.116437,0.096098, 0.126272,0.271403
153,0.219486, 0.243584,0.219885, 0.371300,0.169061, 0.236474,0.134404, 0.279486,0.029160, 0.097160,0.456008
154,0.202355, 0.315408,0.212773, 0.368152,0.142527, 0.281579,0.129441, 0.186852,0.059869, 0.101044,0.506069
155,0.163709, 0.470356,0.132832, 0.345163,0.128056, 0.199363,0.128056, 0.199363,0.051649, 0.181453,0.791397
156,0.191524, 0.368586,0.187872, 0.249327,0.187872, 0.249327,0.097564, 0.218600,0.109300, 0.140028,0.451736
157,0.163920, 0.301225,0.252146, 0.350304,0.091935, 0.296216,0.106500, 0.222668,0.039933, 0.175152,0.691132
158,0.238735, 0.409501,0.162678, 0.314792,0.123563, 0.311304,0.089544, 0.238735,0.047747, 0.063401,0.675467
159,0.192868, 0.393838,0.243780, 0.352683,0.146390, 0.255002,0.121890, 0.176342,0.042650, 0.074558,0.504845
160,0.256974, 0.256974,0.176848, 0.356862,0.074531, 0.256974,0.106189, 0.329217,0.056945, 0.128487,0.657028
161,0.150448, 0.431823,0.177051, 0.317320,0.112476, 0.291135,0.097045, 0.245651,0.059527, 0.117524,0.806908
162,0.270933, 0.386388,0.164330, 0.376439,0.119686, 0.227115,0.086700, 0.193194,0.039335, 0.135880,0.638031
163,0.156016, 0.331259,0.234158, 0.390030,0.156078, 0.233952,0.108564, 0.233952,0.048801, 0.107191,0.592767
164,0.246933, 0.423190,0.136789, 0.308825,0.159676, 0.251637,0.082063, 0.205656,0.022801, 0.162430,0.703476
165,0.200486, 0.432169,0.158164, 0.362434,0.102787, 0.316327,0.104341, 0.161646,0.066497, 0.095149,0.735451
166,0.245831, 0.441653,0.178832, 0.369917,0.083289, 0.274374,0.049898, 0.179545,0.062081, 0.114581,0.760139
167,0.266945, 0.430469,0.150673, 0.268184,0.150673, 0.268184,0.093157, 0.150782,0.057462, 0.163470,0.562178
168,0.265629, 0.367749,0.197740, 0.335867,0.137894, 0.243721,0.144943, 0.183875,0.057451, 0.065132,0.392688
169,0.213851, 0.426845,0.209301, 0.295118,0.126146, 0.295118,0.084070, 0.112675,0.034043, 0.202832,0.665176
170,0.216600, 0.437326,0.148574, 0.284626,0.129474, 0.239825,0.085075, 0.241899,0.074276, 0.142324,0.692002
171,0.239960, 0.342083,0.206688, 0.396184,0.102178, 0.241836,0.100479, 0.188693,0.031181, 0.150718,0.639029
172,0.214822, 0.351209,0.156604, 0.351209,0.112722, 0.317260,0.088410, 0.224798,0.035997, 0.146967,0.782888
173,0.235760, 0.445849,0.107703, 0.375395,0.109176, 0.288985,0.065590, 0.170402,0.070154, 0.130986,0.823233
174,0.211310, 0.325827,0.256791, 0.393272,0.141942, 0.264877,0.083394, 0.151783,0.065149, 0.105655,0.482827
175,0.261665, 0.351770,0.170756, 0.419751,0.057174, 0.266941,0.094889, 0.172714,0.005929, 0.198411,0.819175
176,0.205348, 0.296846,0.175336, 0.388287,0.140906, 0.337659,0.083530, 0.213316,0.017867, 0.140906,0.754025
177,0.120690, 0.404099,0.126937, 0.450176,0.131197, 0.272902,0.000001, 0.256562,0.000001, 0.237434,1.242348
178,0.188353, 0.365126,0.183800, 0.405903,0.138370, 0.280370,0.096597, 0.139580,0.062109, 0.139792,0.661543
179,0.212851, 0.400513,0.170846, 0.292121,0.153882, 0.271672,0.131355, 0.189037,0.087149, 0.090574,0.487832
180,0.290869, 0.418553,0.177356, 0.268706,0.109395, 0.260266,0.092415, 0.183834,0.013777, 0.184830,0.632377
181,0.127019, 0.299574,0.225118, 0.435951,0.090735, 0.312214,0.093942, 0.207305,0.067158, 0.140985,0.792057
182,0.189728, 0.362892,0.244268, 0.406873,0.141047, 0.238408,0.091431, 0.189728,0.054262, 0.081362,0.558528
183,0.251852, 0.337665,0.213584, 0.334993,0.094624, 0.342217,0.076440, 0.137144,0.064101, 0.147379,0.598797
