ó^Ç¶ÇΩèdóvìx,0.120000,0.200000,0.100000,0.200000,0.080000,0.200000,0.060000,0.200000,0.050000,0.190000,0.050000,0.170000,0.050000,0.150000,0.050000,0.130000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],wL[7],wR[7],ãÊä‘ïùÇÃëçòa
48,0.137825, 0.184922,0.117332, 0.213175,0.151691, 0.159881,0.055654, 0.189151,0.000001, 0.191118,0.034456, 0.179107,0.055654, 0.157677,0.055261, 0.117094,0.784252
49,0.105409, 0.168519,0.047867, 0.260380,0.055510, 0.280117,0.057274, 0.210819,0.036099, 0.107640,0.068420, 0.194856,0.077958, 0.164292,0.000001, 0.164839,1.102924
50,0.086073, 0.227150,0.079799, 0.241577,0.107206, 0.246665,0.042711, 0.194621,0.052269, 0.156209,0.105647, 0.150127,0.037651, 0.098811,0.052269, 0.121216,0.872750
51,0.157013, 0.167840,0.080373, 0.165841,0.098988, 0.259093,0.049494, 0.139615,0.063414, 0.178402,0.025851, 0.243208,0.014317, 0.167840,0.022372, 0.166338,0.976355
52,0.049564, 0.265902,0.056918, 0.310102,0.032656, 0.180918,0.053905, 0.233693,0.000001, 0.180182,0.049206, 0.181471,0.044484, 0.116847,0.000001, 0.244151,1.426532
53,0.000001, 0.330799,0.115489, 0.252126,0.082751, 0.192711,0.024330, 0.180443,0.032695, 0.245036,0.041476, 0.086999,0.041031, 0.159034,0.000001, 0.215079,1.324452
54,0.028039, 0.213991,0.063734, 0.260483,0.016421, 0.212226,0.060737, 0.242804,0.081225, 0.202360,0.050113, 0.114484,0.070425, 0.210140,0.063019, 0.109801,1.132577
55,0.163669, 0.284830,0.075266, 0.224249,0.058870, 0.179399,0.070610, 0.135847,0.011731, 0.219374,0.000001, 0.201692,0.037992, 0.103228,0.055522, 0.177720,1.052678
56,0.214620, 0.274574,0.095463, 0.147611,0.103719, 0.183448,0.069419, 0.126439,0.047041, 0.130226,0.029384, 0.243074,0.016686, 0.163065,0.016964, 0.138266,0.813408
57,0.030733, 0.275183,0.069686, 0.182113,0.056468, 0.256147,0.055719, 0.136391,0.084762, 0.290838,0.000001, 0.231795,0.041652, 0.141174,0.000001, 0.147340,1.321958
58,0.089971, 0.182205,0.100202, 0.196159,0.000001, 0.293716,0.075330, 0.272176,0.045551, 0.167970,0.026815, 0.181070,0.041415, 0.140790,0.000001, 0.186628,1.241428
59,0.093785, 0.156341,0.092684, 0.228228,0.020685, 0.269682,0.086139, 0.240907,0.000001, 0.167705,0.000001, 0.251083,0.000001, 0.236418,0.066071, 0.090270,1.281266
60,0.072587, 0.218560,0.116914, 0.192282,0.071854, 0.125443,0.091072, 0.276728,0.000001, 0.237415,0.074555, 0.189291,0.047082, 0.113499,0.048742, 0.123974,0.954386
61,0.033661, 0.241027,0.104967, 0.149780,0.052417, 0.175020,0.068158, 0.164483,0.014549, 0.336908,0.004980, 0.149780,0.043085, 0.205534,0.000901, 0.254748,1.354563
62,0.056944, 0.301237,0.000001, 0.275481,0.043865, 0.283044,0.000001, 0.229619,0.052429, 0.153695,0.057149, 0.164264,0.041110, 0.134718,0.058763, 0.147680,1.379476
63,0.144806, 0.276289,0.041331, 0.198352,0.000001, 0.288675,0.014578, 0.176898,0.047089, 0.189755,0.066032, 0.182919,0.000001, 0.189754,0.048299, 0.135221,1.275725
64,0.090608, 0.291408,0.000001, 0.256602,0.085633, 0.183087,0.014402, 0.270325,0.000001, 0.230080,0.000001, 0.154757,0.000001, 0.251827,0.036906, 0.134360,1.544894
65,0.086575, 0.233141,0.106591, 0.229621,0.000001, 0.287646,0.053179, 0.157259,0.000001, 0.228994,0.020541, 0.168106,0.045100, 0.169315,0.000001, 0.213928,1.376021
66,0.103337, 0.248206,0.156557, 0.310012,0.071215, 0.140430,0.030903, 0.175772,0.027701, 0.240822,0.043943, 0.146974,0.054344, 0.119244,0.021200, 0.109341,0.981601
67,0.168683, 0.211797,0.045237, 0.190240,0.002127, 0.205308,0.000001, 0.269196,0.052938, 0.222922,0.056157, 0.215180,0.042297, 0.125001,0.002675, 0.190240,1.259766
68,0.076939, 0.258955,0.092832, 0.198694,0.116283, 0.242294,0.072546, 0.181551,0.000001, 0.172913,0.046416, 0.125024,0.046416, 0.191755,0.056537, 0.120845,0.984060
69,0.000001, 0.291000,0.090464, 0.265603,0.104343, 0.219271,0.000001, 0.144814,0.091149, 0.225167,0.052172, 0.109245,0.085408, 0.125472,0.064270, 0.131620,1.024385
70,0.100384, 0.196588,0.065377, 0.213510,0.000001, 0.218350,0.000001, 0.319201,0.055430, 0.211365,0.000001, 0.200734,0.053539, 0.139962,0.030596, 0.194961,1.389342
71,0.112150, 0.175642,0.020068, 0.287449,0.112150, 0.234371,0.000001, 0.257737,0.024816, 0.156248,0.080404, 0.143896,0.044904, 0.164631,0.027701, 0.157835,1.155615
72,0.068536, 0.218084,0.133887, 0.316957,0.068536, 0.225191,0.000001, 0.222287,0.000001, 0.149110,0.000001, 0.187900,0.027592, 0.190958,0.071997, 0.118961,1.258896
73,0.097179, 0.239198,0.104343, 0.230385,0.000001, 0.291764,0.000001, 0.174759,0.056343, 0.198219,0.000001, 0.186221,0.000001, 0.194813,0.086604, 0.140166,1.311053
74,0.074702, 0.274940,0.125451, 0.291830,0.045054, 0.205723,0.039981, 0.174821,0.056705, 0.195624,0.000001, 0.158611,0.026635, 0.190464,0.011325, 0.128133,1.240293
75,0.071348, 0.298321,0.122484, 0.231103,0.059480, 0.147516,0.102066, 0.152283,0.068044, 0.166501,0.000001, 0.272544,0.016679, 0.124700,0.030105, 0.136825,1.059585
76,0.099872, 0.206190,0.000001, 0.331089,0.024574, 0.268186,0.018900, 0.165545,0.058789, 0.153031,0.008070, 0.185130,0.000001, 0.238302,0.054894, 0.187427,1.469797
77,0.103735, 0.252120,0.060493, 0.204503,0.000001, 0.278070,0.063302, 0.141201,0.008248, 0.215172,0.048606, 0.215561,0.000001, 0.200140,0.000001, 0.208846,1.431224
