ó^Ç¶ÇΩèdóvìx,0.100000,0.220000,0.100000,0.200000,0.100000,0.180000,0.100000,0.160000,0.090000,0.150000,0.070000,0.150000,0.050000,0.150000,0.030000,0.150000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],wL[7],wR[7],ãÊä‘ïùÇÃëçòa
48,0.066262, 0.159768,0.104365, 0.183075,0.143888, 0.182083,0.132525, 0.170403,0.078889, 0.159768,0.087817, 0.171666,0.050278, 0.140283,0.040139, 0.128791,0.591674
49,0.089503, 0.179806,0.159774, 0.199037,0.159774, 0.189422,0.089503, 0.181476,0.079887, 0.181476,0.076509, 0.115360,0.053258, 0.107759,0.021594, 0.115863,0.540396
50,0.136792, 0.196102,0.087635, 0.163577,0.136792, 0.182625,0.136792, 0.182625,0.038508, 0.156953,0.076460, 0.168042,0.038662, 0.159940,0.035618, 0.102879,0.625484
51,0.125430, 0.165941,0.131112, 0.170174,0.068056, 0.156112,0.131112, 0.170174,0.131112, 0.169862,0.065556, 0.156112,0.035448, 0.148353,0.032778, 0.142671,0.558796
52,0.163994, 0.215618,0.127000, 0.193729,0.052652, 0.154348,0.093486, 0.157448,0.081997, 0.131476,0.072148, 0.181538,0.066341, 0.141816,0.022114, 0.144295,0.640539
53,0.093849, 0.226460,0.109758, 0.210846,0.109758, 0.155591,0.109758, 0.155591,0.054879, 0.144846,0.109758, 0.155591,0.036586, 0.141008,0.046924, 0.138798,0.657462
54,0.151619, 0.207175,0.132135, 0.182526,0.090393, 0.174260,0.084383, 0.182522,0.082060, 0.164645,0.070875, 0.175742,0.028093, 0.128339,0.025231, 0.120002,0.670419
55,0.080030, 0.173080,0.160059, 0.191309,0.160059, 0.191309,0.080030, 0.167398,0.154378, 0.185628,0.077189, 0.111738,0.042247, 0.102530,0.025130, 0.097887,0.441758
56,0.161431, 0.234167,0.072516, 0.173087,0.070154, 0.193689,0.096510, 0.180189,0.067221, 0.191523,0.064167, 0.170282,0.043066, 0.121670,0.023120, 0.137208,0.803629
57,0.148105, 0.191710,0.086541, 0.176230,0.148105, 0.191710,0.138490, 0.176288,0.055111, 0.168105,0.046158, 0.112420,0.040006, 0.157970,0.037026, 0.126026,0.600915
58,0.087239, 0.220052,0.138764, 0.185986,0.078375, 0.187613,0.083668, 0.181919,0.103135, 0.182033,0.042110, 0.171438,0.046255, 0.135817,0.028005, 0.127590,0.784899
59,0.081976, 0.169037,0.147823, 0.229661,0.054276, 0.180081,0.098164, 0.180297,0.069716, 0.174609,0.069716, 0.124177,0.073911, 0.150460,0.026933, 0.169164,0.754971
60,0.200033, 0.227376,0.103797, 0.136055,0.100884, 0.136167,0.111861, 0.210449,0.055931, 0.134887,0.107829, 0.144361,0.055931, 0.126823,0.029840, 0.117776,0.467790
61,0.091860, 0.185560,0.159054, 0.197641,0.164489, 0.203634,0.079527, 0.184681,0.082244, 0.116455,0.082244, 0.129031,0.046056, 0.169875,0.020346, 0.087302,0.548358
62,0.081545, 0.170874,0.145233, 0.186900,0.145233, 0.177972,0.093379, 0.170874,0.072617, 0.170874,0.072617, 0.121157,0.072617, 0.170874,0.031126, 0.116106,0.571265
63,0.100660, 0.219607,0.134334, 0.220764,0.096493, 0.157803,0.096493, 0.145228,0.096493, 0.157803,0.061044, 0.156159,0.040696, 0.156646,0.030625, 0.129151,0.686322
64,0.122191, 0.185223,0.087837, 0.182371,0.154841, 0.197202,0.086349, 0.187985,0.085754, 0.169066,0.061096, 0.119087,0.040730, 0.153441,0.020261, 0.146562,0.681879
65,0.087461, 0.203050,0.144955, 0.191973,0.144955, 0.174922,0.101525, 0.168021,0.101525, 0.168021,0.072478, 0.130214,0.051787, 0.129418,0.028876, 0.100821,0.532876
66,0.160523, 0.199231,0.099363, 0.186988,0.179494, 0.210744,0.089747, 0.136814,0.083551, 0.122887,0.046672, 0.119638,0.056688, 0.169451,0.024181, 0.114028,0.519563
67,0.091106, 0.127091,0.130192, 0.215546,0.062599, 0.205082,0.091106, 0.166651,0.091106, 0.143189,0.091106, 0.142388,0.039850, 0.200069,0.045553, 0.157366,0.714764
68,0.139094, 0.182983,0.139094, 0.202979,0.139094, 0.182427,0.073295, 0.159233,0.065380, 0.159233,0.092045, 0.168260,0.024687, 0.146590,0.027819, 0.097788,0.598985
69,0.190709, 0.233891,0.054012, 0.201618,0.116485, 0.213985,0.095354, 0.147041,0.095354, 0.139886,0.067357, 0.139700,0.047677, 0.115671,0.024369, 0.116892,0.617364
70,0.071257, 0.172392,0.079070, 0.172392,0.142514, 0.181056,0.105022, 0.172322,0.142514, 0.186548,0.071257, 0.137800,0.044236, 0.163514,0.029355, 0.128749,0.629549
71,0.125213, 0.205272,0.066079, 0.158458,0.125213, 0.176552,0.087662, 0.173824,0.070585, 0.166437,0.069303, 0.166880,0.041227, 0.168778,0.038962, 0.159554,0.751511
72,0.138733, 0.242607,0.112840, 0.152647,0.112840, 0.155664,0.112840, 0.164775,0.112840, 0.157814,0.042078, 0.135340,0.041416, 0.148778,0.031960, 0.136830,0.588906
73,0.109874, 0.200701,0.089339, 0.192951,0.089531, 0.194136,0.084874, 0.153228,0.114339, 0.163581,0.081198, 0.150450,0.040891, 0.150629,0.038113, 0.146165,0.703682
74,0.055470, 0.172528,0.145180, 0.196052,0.075431, 0.184242,0.085431, 0.187794,0.145180, 0.196569,0.041977, 0.176024,0.049504, 0.120885,0.027104, 0.140628,0.749446
75,0.110206, 0.147243,0.148120, 0.233433,0.110206, 0.148085,0.110206, 0.149558,0.110206, 0.149558,0.060785, 0.159085,0.039050, 0.154817,0.036735, 0.132706,0.548970
76,0.126658, 0.170286,0.126658, 0.170286,0.063329, 0.235162,0.117581, 0.170286,0.117581, 0.158801,0.063329, 0.157387,0.045196, 0.152722,0.025332, 0.099406,0.628672
77,0.083167, 0.255530,0.125361, 0.180917,0.078306, 0.178833,0.125361, 0.172236,0.074833, 0.162861,0.062681, 0.114764,0.062681, 0.129087,0.037851, 0.155533,0.699522
78,0.109430, 0.184539,0.199630, 0.234886,0.081853, 0.129908,0.099815, 0.145415,0.081853, 0.202234,0.060397, 0.135224,0.060668, 0.128661,0.035408, 0.110079,0.541892
79,0.104350, 0.152961,0.121017, 0.223023,0.121017, 0.159211,0.104350, 0.156380,0.121017, 0.161526,0.062912, 0.149203,0.042654, 0.145055,0.032845, 0.142481,0.579679
80,0.138116, 0.243865,0.112818, 0.164901,0.112818, 0.156800,0.112818, 0.156800,0.056409, 0.143280,0.056409, 0.144681,0.066738, 0.144681,0.039590, 0.149276,0.608568
81,0.056897, 0.171906,0.103658, 0.185170,0.082620, 0.225173,0.145239, 0.198480,0.072620, 0.143486,0.079564, 0.150533,0.033090, 0.172813,0.034553, 0.144199,0.783519
82,0.095632, 0.187957,0.078776, 0.187957,0.146522, 0.190640,0.078776, 0.176928,0.078776, 0.151110,0.078776, 0.131743,0.050706, 0.126882,0.059529, 0.179291,0.665015
83,0.099087, 0.210633,0.079200, 0.216961,0.099087, 0.166413,0.122686, 0.166762,0.093499, 0.178611,0.051787, 0.160951,0.043541, 0.144105,0.030090, 0.136587,0.762045
84,0.128528, 0.201072,0.085536, 0.200299,0.094941, 0.167218,0.128528, 0.178773,0.049464, 0.163905,0.071339, 0.166880,0.042262, 0.156306,0.045929, 0.119018,0.706943
85,0.069692, 0.150359,0.126225, 0.182275,0.126225, 0.171181,0.068018, 0.191539,0.077044, 0.163986,0.090214, 0.164016,0.057365, 0.157475,0.044916, 0.159470,0.680602
86,0.091252, 0.158608,0.101669, 0.227511,0.137830, 0.203338,0.113755, 0.169693,0.113755, 0.169693,0.061562, 0.114025,0.042386, 0.132329,0.025581, 0.137011,0.624417
87,0.117511, 0.249575,0.065166, 0.151407,0.075703, 0.235023,0.112678, 0.161984,0.112678, 0.161984,0.112678, 0.163986,0.032970, 0.124594,0.024512, 0.097549,0.692204
88,0.141365, 0.189894,0.120702, 0.207795,0.079016, 0.181642,0.090505, 0.176484,0.070683, 0.158330,0.082171, 0.175740,0.039018, 0.150464,0.019264, 0.116926,0.714552
89,0.153282, 0.200481,0.160038, 0.204370,0.082926, 0.131812,0.086305, 0.188774,0.081456, 0.188684,0.045473, 0.118599,0.045571, 0.172303,0.020721, 0.119204,0.648454
90,0.076838, 0.174880,0.116977, 0.184231,0.146919, 0.193203,0.153676, 0.200322,0.042680, 0.175251,0.049489, 0.116043,0.051225, 0.145330,0.032015, 0.140919,0.660360
91,0.139033, 0.201214,0.085561, 0.172783,0.139033, 0.198292,0.083405, 0.172783,0.069517, 0.171176,0.055393, 0.127227,0.047654, 0.165033,0.035613, 0.136283,0.689583
92,0.079563, 0.181819,0.079157, 0.176424,0.131653, 0.177927,0.135586, 0.181041,0.074540, 0.171301,0.084156, 0.168054,0.052670, 0.124611,0.024847, 0.156653,0.675658
93,0.129356, 0.181038,0.138971, 0.178034,0.069486, 0.168268,0.138971, 0.182721,0.077298, 0.167989,0.077298, 0.167989,0.043457, 0.110344,0.022916, 0.145865,0.604495
94,0.088460, 0.203300,0.064349, 0.201921,0.112247, 0.168229,0.089808, 0.157001,0.069141, 0.188145,0.084562, 0.159122,0.064258, 0.159122,0.034475, 0.155860,0.785399
95,0.157924, 0.222892,0.104285, 0.146514,0.104285, 0.146514,0.111041, 0.176674,0.062913, 0.139002,0.108809, 0.173996,0.048400, 0.132559,0.038365, 0.125826,0.527955
96,0.090093, 0.149301,0.135046, 0.195810,0.121523, 0.167941,0.121523, 0.169768,0.074468, 0.148867,0.060761, 0.155880,0.060761, 0.148867,0.055143, 0.144250,0.561365
97,0.064322, 0.179088,0.083735, 0.187368,0.088717, 0.148088,0.119133, 0.208684,0.073719, 0.161471,0.073719, 0.161471,0.059566, 0.161471,0.055672, 0.173776,0.762836
98,0.119615, 0.179436,0.168748, 0.239229,0.158034, 0.189284,0.082142, 0.173659,0.082142, 0.118028,0.045879, 0.107142,0.075229, 0.110988,0.041071, 0.109374,0.454280
99,0.138141, 0.171474,0.138141, 0.171474,0.138141, 0.171474,0.138141, 0.171474,0.069070, 0.152427,0.035972, 0.147400,0.069070, 0.155998,0.038107, 0.093496,0.470434
100,0.096852, 0.231525,0.066246, 0.176183,0.076597, 0.193253,0.081834, 0.193704,0.111000, 0.194349,0.054126, 0.165044,0.036255, 0.143083,0.029417, 0.150532,0.895345
101,0.140959, 0.226960,0.097706, 0.164781,0.097706, 0.226960,0.072718, 0.170324,0.097706, 0.159913,0.058713, 0.170513,0.034816, 0.146653,0.026409, 0.107164,0.746536
102,0.136338, 0.189880,0.083482, 0.155530,0.124975, 0.174880,0.075982, 0.169116,0.069987, 0.157753,0.124975, 0.170051,0.044552, 0.149475,0.027217, 0.145808,0.624985
