ó^Ç¶ÇΩèdóvìx,0.320000,0.380000,0.210000,0.350000,0.150000,0.290000,0.120000,0.180000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],ãÊä‘ïùÇÃëçòa
201,0.313235, 0.346569,0.269935, 0.313235,0.173284, 0.269935,0.115523, 0.198284,0.256046
202,0.430716, 0.457743,0.228872, 0.265027,0.132513, 0.215358,0.107679, 0.162091,0.200438
203,0.422390, 0.436813,0.218407, 0.245192,0.218407, 0.236264,0.081731, 0.140797,0.118132
204,0.292857, 0.342857,0.242857, 0.292857,0.171429, 0.242857,0.171429, 0.242857,0.242857
205,0.302521, 0.350140,0.273109, 0.302521,0.175070, 0.273109,0.136555, 0.186975,0.225490
206,0.422619, 0.436508,0.218254, 0.227183,0.218254, 0.227183,0.109127, 0.140873,0.063492
207,0.292857, 0.342857,0.171429, 0.242857,0.242857, 0.292857,0.171429, 0.242857,0.242857
208,0.304762, 0.338095,0.263095, 0.304762,0.169048, 0.263095,0.152381, 0.204762,0.221429
209,0.302521, 0.350140,0.175070, 0.273109,0.273109, 0.302521,0.136555, 0.186975,0.225490
210,0.298115, 0.339782,0.255456, 0.298115,0.169891, 0.255456,0.127728, 0.255456,0.297619
211,0.302521, 0.350140,0.273109, 0.302521,0.175070, 0.273109,0.136555, 0.186975,0.225490
212,0.385185, 0.422222,0.211111, 0.236111,0.211111, 0.236111,0.105556, 0.192593,0.174074
213,0.345505, 0.392380,0.196190, 0.284425,0.142213, 0.345505,0.112801, 0.180983,0.406584
214,0.410716, 0.448595,0.224297, 0.272288,0.136144, 0.214617,0.087985, 0.205358,0.281716
215,0.267857, 0.299107,0.267857, 0.299107,0.232143, 0.267857,0.133929, 0.232143,0.196429
216,0.271474, 0.322476,0.322476, 0.355288,0.177644, 0.271474,0.118429, 0.160737,0.219952
217,0.315093, 0.363170,0.181585, 0.252875,0.243946, 0.315093,0.084292, 0.243946,0.350168
218,0.313235, 0.346569,0.269935, 0.313235,0.173284, 0.269935,0.115523, 0.198284,0.256046
219,0.274697, 0.317997,0.317997, 0.349743,0.174872, 0.274697,0.105999, 0.183999,0.252871
220,0.322476, 0.355288,0.177644, 0.271474,0.271474, 0.322476,0.118429, 0.160737,0.219952
221,0.285714, 0.297619,0.285714, 0.303571,0.285714, 0.297619,0.101190, 0.142857,0.083333
222,0.340909, 0.361742,0.325758, 0.340909,0.170455, 0.198232,0.099116, 0.162879,0.127525
223,0.400000, 0.425000,0.200000, 0.233333,0.200000, 0.225000,0.116667, 0.200000,0.166667
224,0.250000, 0.291667,0.250000, 0.281250,0.250000, 0.281250,0.145833, 0.250000,0.208333
225,0.422619, 0.436508,0.218254, 0.227183,0.218254, 0.227183,0.109127, 0.140873,0.063492
226,0.400000, 0.425000,0.200000, 0.225000,0.200000, 0.233333,0.116667, 0.200000,0.166667
227,0.285714, 0.285714,0.285714, 0.285714,0.285714, 0.285714,0.142857, 0.142857,-0.000000
228,0.267857, 0.299107,0.267857, 0.299107,0.232143, 0.267857,0.133929, 0.232143,0.196429
229,0.263095, 0.304762,0.304762, 0.338095,0.169048, 0.263095,0.152381, 0.204762,0.221429
230,0.311786, 0.355264,0.268485, 0.311786,0.177632, 0.268485,0.103929, 0.202632,0.276336
231,0.465679, 0.487738,0.243869, 0.263100,0.131550, 0.168560,0.084280, 0.155226,0.149246
232,0.319328, 0.355042,0.260504, 0.319328,0.118347, 0.260504,0.159664, 0.207283,0.284314
233,0.333333, 0.354167,0.333333, 0.354167,0.166667, 0.194444,0.097222, 0.166667,0.138889
234,0.285714, 0.303571,0.285714, 0.297619,0.285714, 0.297619,0.101190, 0.142857,0.083333
235,0.323915, 0.355661,0.177831, 0.280121,0.280121, 0.323915,0.093374, 0.165061,0.249518
236,0.267857, 0.299107,0.267857, 0.299107,0.232143, 0.267857,0.133929, 0.232143,0.196429
237,0.274697, 0.317997,0.317997, 0.349743,0.174872, 0.274697,0.105999, 0.183999,0.252871
238,0.340909, 0.361742,0.325758, 0.340909,0.170455, 0.198232,0.099116, 0.162879,0.127525
239,0.425397, 0.447619,0.223810, 0.265079,0.132540, 0.212698,0.132540, 0.160317,0.171429
240,0.329004, 0.376623,0.188312, 0.283550,0.141775, 0.329004,0.141775, 0.209957,0.398268
241,0.333333, 0.333333,0.333333, 0.333333,0.166667, 0.166667,0.166667, 0.166667,0.000000
242,0.250595, 0.302679,0.286012, 0.340873,0.170437, 0.262500,0.100893, 0.286012,0.384127
243,0.330409, 0.375051,0.265797, 0.330409,0.125017, 0.265797,0.104817, 0.202704,0.347922
244,0.385185, 0.422222,0.211111, 0.236111,0.211111, 0.236111,0.105556, 0.192593,0.174074
245,0.322917, 0.385417,0.177083, 0.260417,0.130208, 0.322917,0.161458, 0.239583,0.416667
246,0.313235, 0.346569,0.269935, 0.313235,0.173284, 0.269935,0.115523, 0.198284,0.256046
247,0.304762, 0.338095,0.263095, 0.304762,0.169048, 0.263095,0.152381, 0.204762,0.221429
248,0.305634, 0.347301,0.249817, 0.305634,0.173650, 0.261722,0.106425, 0.249817,0.328947
249,0.319328, 0.355042,0.260504, 0.319328,0.118347, 0.260504,0.159664, 0.207283,0.284314
250,0.317997, 0.349743,0.274697, 0.317997,0.174872, 0.274697,0.105999, 0.183999,0.252871
251,0.305138, 0.357519,0.240789, 0.305138,0.178759, 0.252694,0.119173, 0.240789,0.312281
252,0.333333, 0.333333,0.333333, 0.333333,0.166667, 0.166667,0.166667, 0.166667,0.000000
253,0.273109, 0.302521,0.302521, 0.350140,0.175070, 0.273109,0.136555, 0.186975,0.225490
254,0.267857, 0.299107,0.232143, 0.267857,0.267857, 0.299107,0.133929, 0.232143,0.196429
255,0.323915, 0.355661,0.177831, 0.280121,0.280121, 0.323915,0.093374, 0.165061,0.249518
256,0.302521, 0.350140,0.273109, 0.302521,0.175070, 0.273109,0.136555, 0.186975,0.225490
257,0.405556, 0.433333,0.216667, 0.269444,0.134722, 0.202778,0.134722, 0.202778,0.216667
258,0.333333, 0.354167,0.333333, 0.347222,0.166667, 0.180556,0.118056, 0.166667,0.097222
259,0.311786, 0.355264,0.268485, 0.311786,0.177632, 0.268485,0.103929, 0.202632,0.276336
260,0.267857, 0.299107,0.267857, 0.299107,0.232143, 0.267857,0.133929, 0.232143,0.196429
261,0.317997, 0.349743,0.274697, 0.317997,0.174872, 0.274697,0.105999, 0.183999,0.252871
262,0.302521, 0.350140,0.273109, 0.302521,0.175070, 0.273109,0.136555, 0.186975,0.225490
263,0.317997, 0.349743,0.274697, 0.317997,0.174872, 0.274697,0.105999, 0.183999,0.252871
264,0.302521, 0.350140,0.273109, 0.302521,0.175070, 0.273109,0.136555, 0.186975,0.225490
265,0.430769, 0.464103,0.215385, 0.240385,0.176923, 0.215385,0.080128, 0.176923,0.193590
266,0.302521, 0.350140,0.273109, 0.302521,0.175070, 0.273109,0.136555, 0.186975,0.225490
